"ORPHA:58", "Alexander disease"
"ORPHA:1643", "Xp22.3 microdeletion syndrome"
"ORPHA:1627", "Deletion 5q35"
"ORPHA:1699", "Trisomy 12p"
"ORPHA:1695", "Non-distal trisomy 10q"
"ORPHA:500", "Noonan syndrome with multiple lentigines"
"ORPHA:507", "Leishmaniasis"
"ORPHA:548", "Leprosy"
"ORPHA:233", "Duane retraction syndrome"
"ORPHA:657", "Congenital isolated hyperinsulinism"
"ORPHA:2445", "Conotruncal heart malformations"
"ORPHA:391457", "HSD10 disease, neonatal type"
"ORPHA:391307", "Severe intellectual disability-short stature-behavioral abnormalities-facial dysmorphism syndrome"
"ORPHA:391316", "Infantile-onset mesial temporal lobe epilepsy with severe cognitive regression"
"ORPHA:391311", "Susceptibility to viral and mycobacterial infections"
"ORPHA:391327", "X-linked calvarial hyperostosis"
"ORPHA:391320", "East Texas bleeding disorder"
"ORPHA:391330", "X-linked osteoporosis with fractures"
"ORPHA:398063", "Refractory celiac disease"
"ORPHA:398058", "Squamous cell carcinoma of the penis"
"ORPHA:398053", "Adenocarcinoma of the penis"
"ORPHA:398043", "Malignant tumor of penis"
"ORPHA:397973", "Intellectual disability-obesity-prognathism-eye and skin anomalies syndrome"
"ORPHA:397968", "Charcot-Marie-Tooth disease type 2R"
"ORPHA:397964", "Combined immunodeficiency due to MALT1 deficiency"
"ORPHA:397959", "TCR-alpha-beta-positive T-cell deficiency"
"ORPHA:397951", "Microcephaly-thin corpus callosum-intellectual disability syndrome"
"ORPHA:397946", "Autosomal spastic paraplegia type 58"
"ORPHA:240", "Léri-Weill dyschondrosteosis"
"ORPHA:2311", "Autosomal recessive spondylocostal dysostosis"
"ORPHA:358", "Gitelman syndrome"
"ORPHA:242", "46,XY complete gonadal dysgenesis"
"ORPHA:2052", "Fraser syndrome"
"ORPHA:1354", "Heart defects-limb shortening syndrome"
"ORPHA:1358", "Carey-Fineman-Ziter syndrome"
"ORPHA:557", "Isolated anorectal malformation"
"ORPHA:111", "Barth syndrome"
"ORPHA:10", "48,XXYY syndrome"
"ORPHA:1308", "C syndrome"
"ORPHA:150", "Nasopharyngeal carcinoma"
"ORPHA:133", "Chronic beryllium disease"
"ORPHA:1552", "Currarino syndrome"
"ORPHA:1450", "Ring chromosome 8 syndrome"
"ORPHA:1448", "Ring chromosome 6 syndrome"
"ORPHA:1581", "Non-distal monosomy 10q"
"ORPHA:1580", "Distal monosomy 10p"
"ORPHA:1437", "Ring chromosome 1 syndrome"
"ORPHA:172", "Progressive familial intrahepatic cholestasis"
"ORPHA:1447", "Ring chromosome 4 syndrome"
"ORPHA:1444", "Ring chromosome 20 syndrome"
"ORPHA:1439", "Ring chromosome 12 syndrome"
"ORPHA:1438", "Ring chromosome 10 syndrome"
"ORPHA:2615", "Nakajo-Nishimura syndrome"
"ORPHA:624", "Familial multiple nevi flammei"
"ORPHA:2601", "Myopathy-growth delay-intellectual disability-hypospadias syndrome"
"ORPHA:3306", "Duplication/inversion 15q11"
"ORPHA:3375", "Trisomy X"
"ORPHA:3310", "Tetrasomy 9p"
"ORPHA:3000", "Familial male-limited precocious puberty"
"ORPHA:680", "Normokalemic periodic paralysis"
"ORPHA:3305", "Tetraploidy"
"ORPHA:3176", "Spina bifida-hypospadias syndrome"
"ORPHA:1708", "Mosaic trisomy 16"
"ORPHA:1711", "Mosaic trisomy 17"
"ORPHA:3376", "Triploidy"
"ORPHA:1692", "Mosaic trisomy 1"
"ORPHA:1698", "Mosaic trisomy 12"
"ORPHA:1706", "Mosaic trisomy 15"
"ORPHA:916", "Aase-Smith syndrome"
"ORPHA:918", "ABCD syndrome"
"ORPHA:920", "Ablepharon macrostomia syndrome"
"ORPHA:1445", "Ring chromosome 21 syndrome"
"ORPHA:7", "3C syndrome"
"ORPHA:931", "Acheiropodia"
"ORPHA:929", "Achalasia-microcephaly syndrome"
"ORPHA:869", "Triple A syndrome"
"ORPHA:2297", "Insulin-resistance syndrome type A"
"ORPHA:922", "Familial nasal acilia"
"ORPHA:921", "Abruzzo-Erickson syndrome"
"ORPHA:27", "Vitamin B12-unresponsive methylmalonic acidemia"
"ORPHA:939", "3-hydroxyisobutyric aciduria"
"ORPHA:31", "Oxoglutaric aciduria"
"ORPHA:935", "Short-limb skeletal dysplasia with severe combined immunodeficiency"
"ORPHA:932", "Achondrogenesis"
"ORPHA:1795", "Peripheral dysostosis"
"ORPHA:37", "Acrodermatitis enteropathica"
"ORPHA:950", "Acrodysostosis"
"ORPHA:949", "Acrocraniofacial dysostosis"
"ORPHA:945", "Acalvaria"
"ORPHA:946", "Acrocephalosyndactyly"
"ORPHA:957", "Acropectorovertebral dysplasia"
"ORPHA:958", "Acro-renal-mandibular syndrome"
"ORPHA:955", "Acroosteolysis dominant type"
"ORPHA:956", "Acropectororenal dysplasia"
"ORPHA:953", "OBSOLETE: Acromesomelic dysplasia, Brahimi-Bacha type"
"ORPHA:952", "Acrofacial dysostosis, Weyers type"
"ORPHA:1702", "Non-distal trisomy 13q"
"ORPHA:1703", "Mosaic trisomy 14"
"ORPHA:1705", "Distal trisomy 14q"
"ORPHA:1713", "17p11.2 microduplication syndrome"
"ORPHA:1738", "Trisomy 4p"
"ORPHA:1739", "OBSOLETE: Duplication 4q"
"ORPHA:1742", "Trisomy 5p"
"ORPHA:1745", "Distal trisomy 6p"
"ORPHA:1752", "Trisomy 8q"
"ORPHA:1762", "Trisomy Xq28"
"ORPHA:1878", "TRIM32-related  limb-girdle muscular dystrophy R8"
"ORPHA:1877", "Muscular dystrophy-white matter spongiosis syndrome"
"ORPHA:1876", "Oculogastrointestinal muscular dystrophy"
"ORPHA:1948", "Epilepsy-microcephaly-skeletal dysplasia syndrome"
"ORPHA:1946", "Amelocerebrohypohidrotic syndrome"
"ORPHA:1981", "Fanconi syndrome-ichthyosis-dysmorphism syndrome"
"ORPHA:1951", "Epilepsy-telangiectasia syndrome"
"ORPHA:381", "Griscelli syndrome"
"ORPHA:2604", "Familial visceral myopathy"
"ORPHA:156", "Carnitine palmitoyl transferase 1A deficiency"
"ORPHA:2597", "Mitochondrial myopathy-lactic acidosis-deafness syndrome"
"ORPHA:2598", "Mitochondrial myopathy and sideroblastic anemia"
"ORPHA:1088", "OBSOLETE: Short stature-heart defect-craniofacial anomalies syndrome"
"ORPHA:1078", "Thumb stiffness-brachydactyly-intellectual disability syndrome"
"ORPHA:1077", "Dental ankylosis"
"ORPHA:1074", "Ankyloblepharon filiforme adnatum-imperforate anus syndrome"
"ORPHA:1072", "Ankyloblepharon filiforme adnatum-cleft palate syndrome"
"ORPHA:1071", "Ankyloblepharon-ectodermal defects-cleft lip/palate syndrome"
"ORPHA:1069", "Aniridia-absent patella syndrome"
"ORPHA:1068", "Aniridia-intellectual disability syndrome"
"ORPHA:1067", "Aniridia-ptosis-intellectual disability-familial obesity syndrome"
"ORPHA:1064", "Aniridia-renal agenesis-psychomotor retardation syndrome"
"ORPHA:1062", "Hereditary neurocutaneous malformation"
"ORPHA:1060", "Systemic cystic angiomatosis-Seip syndrome"
"ORPHA:138221", "Rare sucking/swallowing disorder"
"ORPHA:138118", "Acquired alimentary behavior disorder of infancy"
"ORPHA:1057", "OBSOLETE: Intracranial aneurysms-multiple congenital anomalies syndrome"
"ORPHA:1053", "Vein of Galen aneurysmal malformation"
"ORPHA:138115", "Sucking/swallowing disorder associated with a neuromuscular disease"
"ORPHA:138112", "Sucking/swallowing disorder associated with cerebellar anomalies"
"ORPHA:1055", "Congenital left ventricular aneurysm"
"ORPHA:138109", "Sucking/swallowing disorder associated with posterior fossa anomalies"
"ORPHA:138104", "Sucking/swallowing disorder associated with basal ganglia anomalies"
"ORPHA:1052", "Mosaic variegated aneuploidy syndrome"
"ORPHA:138101", "Sucking/swallowing disorder associated with suprabulbar anomalies"
"ORPHA:138095", "Sucking/swallowing disorder associated with neurologic anomalies"
"ORPHA:138084", "Sucking/swallowing disorder associated to cervicofacial or esophageal malformation"
"ORPHA:1040", "Metaphyseal anadysplasia"
"ORPHA:138080", "Syndromic sucking/swallowing disorder with unidentifyed syndrome"
"ORPHA:1041", "Hydrops fetalis"
"ORPHA:138076", "Sucking/swallowing disorder associated to a chromosomal anomaly"
"ORPHA:1037", "Arthrogryposis multiplex congenita"
"ORPHA:138072", "Sucking/swallowing disorder associated with an identified syndrome"
"ORPHA:1126", "Aprosencephaly cerebellar dysgenesis"
"ORPHA:1125", "Ocular motor apraxia, Cogan type"
"ORPHA:1121", "Radial deficiency-tibial hypoplasia syndrome"
"ORPHA:1120", "Lung agenesis-heart defect-thumb anomalies syndrome"
"ORPHA:1122", "Ulnar hypoplasia-split foot syndrome"
"ORPHA:1116", "Aplasia cutis congenita-intestinal lymphangiectasia syndrome"
"ORPHA:1115", "OBSOLETE: Recessive aplasia cutis congenita of limbs"
"ORPHA:1118", "Fibular aplasia-ectrodactyly syndrome"
"ORPHA:1117", "Aplasia cutis-myopia syndrome"
"ORPHA:1110", "Aortic arch anomaly-facial dysmorphism-intellectual disability syndrome"
"ORPHA:1113", "Aphalangy-syndactyly-microcephaly syndrome"
"ORPHA:1112", "Aphalangy-hemivertebrae-urogenital-intestinal dysgenesis syndrome"
"ORPHA:1106", "Microphthalmia with limb anomalies"
"ORPHA:83", "Antley-Bixler syndrome"
"ORPHA:1102", "Anophthalmia-hypothalamo-pituitary insufficiency syndrome"
"ORPHA:1104", "Anophthalmia plus syndrome"
"ORPHA:1094", "Anonychia-microcephaly syndrome"
"ORPHA:1092", "Renal-genital-middle ear anomalies"
"ORPHA:991", "PAGOD syndrome"
"ORPHA:139039", "Orofacial clefting syndrome"
"ORPHA:990", "Agnathia-holoprosencephaly-situs inversus syndrome"
"ORPHA:989", "Hypoglossia-hypodactyly syndrome"
"ORPHA:139042", "Malformation syndrome with odontal and/or periodontal component"
"ORPHA:994", "Fetal akinesia deformation sequence"
"ORPHA:51", "Aicardi-Goutières syndrome"
"ORPHA:139021", "Malformation syndrome with short stature"
"ORPHA:981", "Internal carotid agenesis"
"ORPHA:139024", "Overgrowth/obesity syndrome"
"ORPHA:139015", "OBSOLETE: Chondrodysplastic malformation syndrome"
"ORPHA:978", "ADULT syndrome"
"ORPHA:139018", "OBSOLETE: Non-chondrodysplastic malformation syndrome affecting bones"
"ORPHA:977", "Adrenomyodystrophy"
"ORPHA:988", "Tibial hemimelia-polysyndactyly-triphalangeal thumb syndrome"
"ORPHA:139033", "Progeroid syndrome"
"ORPHA:139036", "Branchial arch or oral-acral syndrome"
"ORPHA:139027", "Rare developmental defect with skin/mucosae involvement"
"ORPHA:983", "Testicular regression syndrome"
"ORPHA:139030", "Rare developmental defect with connective tissue involvement"
"ORPHA:970", "Hereditary sensory and autonomic neuropathy type 2"
"ORPHA:971", "Acrorenal syndrome"
"ORPHA:40", "Acromesomelic dysplasia, Maroteaux type"
"ORPHA:969", "Acromicric dysplasia"
"ORPHA:139012", "Rare bone development disorder"
"ORPHA:974", "Adams-Oliver syndrome"
"ORPHA:139009", "Developmental anomaly of metabolic origin"
"ORPHA:139006", "OBSOLETE: Sequence or association"
"ORPHA:972", "Hereditary continuous muscle fiber activity"
"ORPHA:973", "Congenital absence/hypoplasia of fingers excluding thumb, unilateral"
"ORPHA:964", "Acromegaly-cutis verticis gyrata-corneal leukoma syndrome"
"ORPHA:959", "Acro-renal-ocular syndrome"
"ORPHA:968", "Acromesomelic dysplasia, Hunter-Thompson type"
"ORPHA:965", "Acromegaloid facial appearance syndrome"
"ORPHA:966", "Hypertrichosis-acromegaloid facial appearance syndrome"
"ORPHA:139411", "Carney triad"
"ORPHA:139414", "Congenital panfollicular nevus"
"ORPHA:1028", "Amelo-onycho-hypohidrotic syndrome"
"ORPHA:139417", "Acute transverse myelitis"
"ORPHA:1031", "Enamel-renal syndrome"
"ORPHA:139420", "Secondary acute transverse myelitis"
"ORPHA:1034", "OBSOLETE: Amniotic bands"
"ORPHA:139423", "Idiopathic acute transverse myelitis"
"ORPHA:139426", "Perioral myoclonia with absences"
"ORPHA:139431", "Jeavons syndrome"
"ORPHA:1035", "Beta-mercaptolactate cysteine disulfiduria"
"ORPHA:139436", "Multicentric reticulohistiocytosis"
"ORPHA:139373", "OBSOLETE: Recessive hereditary methemoglobinemia type 1"
"ORPHA:1021", "Amaurosis-hypertrichosis syndrome"
"ORPHA:139380", "OBSOLETE: Recessive hereditary methemoglobinemia type 2"
"ORPHA:64", "Alström syndrome"
"ORPHA:1023", "Congenital generalized hypertrichosis, Ambras type"
"ORPHA:139390", "Isolated craniosynostosis"
"ORPHA:139393", "Syndromic craniosynostosis"
"ORPHA:139396", "X-linked cerebral adrenoleukodystrophy"
"ORPHA:139399", "Adrenomyeloneuropathy"
"ORPHA:139402", "Drug rash with eosinophilia and systemic symptoms"
"ORPHA:1027", "Autosomal recessive amelia"
"ORPHA:139406", "Encephalopathy due to prosaposin deficiency"
"ORPHA:1008", "Alopecia-epilepsy-pyorrhea-intellectual disability syndrome"
"ORPHA:701", "Alopecia universalis"
"ORPHA:1010", "Autosomal dominant palmoplantar keratoderma and congenital alopecia"
"ORPHA:1011", "Alopecia-hypogonadism-extrapyramidal syndrome"
"ORPHA:1014", "Alopecia-intellectual disability-hypergonadotropic hypogonadism syndrome"
"ORPHA:1001", "2q37 microdeletion syndrome"
"ORPHA:665", "Albright hereditary osteodystrophy"
"ORPHA:59", "Allan-Herndon-Dudley syndrome"
"ORPHA:1003", "Scalp defects-postaxial polydactyly syndrome"
"ORPHA:1005", "Alopecia-contractures-dwarfism-intellectual disability syndrome"
"ORPHA:1253", "Ascher syndrome"
"ORPHA:1251", "Blepharofacioskeletal syndrome"
"ORPHA:1252", "Blepharonasofacial malformation syndrome"
"ORPHA:1248", "Maxillonasal dysplasia"
"ORPHA:1250", "OBSOLETE: Blaichman syndrome"
"ORPHA:127", "Borjeson-Forssman-Lehmann syndrome"
"ORPHA:1264", "Tricho-retino-dento-digital syndrome"
"ORPHA:1262", "Böök syndrome"
"ORPHA:1263", "Boomerang dysplasia"
"ORPHA:1259", "Blepharoptosis-myopia-ectopia lentis syndrome"
"ORPHA:1261", "Bonnemann-Meinecke-Reich syndrome"
"ORPHA:1256", "OBSOLETE: Blepharophimosis-radioulnar synostosis syndrome"
"ORPHA:1235", "OBSOLETE: Ectodermal dysplasia-absent dermatoglyphs syndrome"
"ORPHA:1234", "Bartsocas-Papas syndrome"
"ORPHA:1231", "Barber-Say syndrome"
"ORPHA:1229", "Congenital intrauterine infection-like syndrome"
"ORPHA:109", "Bannayan-Riley-Ruvalcaba syndrome"
"ORPHA:1228", "Banki syndrome"
"ORPHA:1241", "Bencze syndrome"
"ORPHA:1240", "Metaphyseal acroscyphodysplasia"
"ORPHA:1239", "OBSOLETE: Behr syndrome"
"ORPHA:1237", "Beemer-Ertbruggen syndrome"
"ORPHA:114", "Auriculoosteodysplasia"
"ORPHA:115", "Congenital contractural arachnodactyly"
"ORPHA:1236", "Severe microbrachycephaly-intellectual disability-athetoid cerebral palsy syndrome"
"ORPHA:137622", "Intractable diarrhea-choanal atresia-eye anomalies syndrome"
"ORPHA:137617", "Nephrogenic systemic fibrosis"
"ORPHA:1292", "Brachymorphism-onychodysplasia-dysphalangism syndrome"
"ORPHA:137628", "Cardiac anomalies-heterotaxy syndrome"
"ORPHA:1293", "Brachyolmia"
"ORPHA:137625", "Glycogen storage disease due to muscle and heart glycogen synthase deficiency"
"ORPHA:137608", "Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome"
"ORPHA:137658", "Microcephaly-intellectual disability-phalangeal and neurological anomalies syndrome"
"ORPHA:1299", "Branchioskeletogenital syndrome"
"ORPHA:137653", "Microcephaly-digital anomalies-intellectual disability syndrome"
"ORPHA:137672", "Pellucid marginal degeneration"
"ORPHA:1300", "Autosomal dominant popliteal pterygium syndrome"
"ORPHA:137667", "Capillary malformation-arteriovenous malformation"
"ORPHA:1301", "Bronchiectasis-oligospermia syndrome"
"ORPHA:137634", "Overgrowth-macrocephaly-facial dysmorphism syndrome"
"ORPHA:1295", "Brachytelephalangy-dysmorphism-Kallmann syndrome"
"ORPHA:137631", "Lung fibrosis-immunodeficiency-46,XX gonadal dysgenesis syndrome"
"ORPHA:1296", "Lambert syndrome"
"ORPHA:1297", "Branchio-oculo-facial syndrome"
"ORPHA:137639", "Hypomyelinating leukodystrophy-ataxia-hypodontia-hypomyelination syndrome"
"ORPHA:137577", "Neonatal hypoxic and ischemic brain injury"
"ORPHA:137583", "Vulvar intraepithelial neoplasia"
"ORPHA:1276", "Brachydactyly-arterial hypertension syndrome"
"ORPHA:1275", "Brachydactyly-elbow wrist dysplasia syndrome"
"ORPHA:137586", "Herpes simplex virus keratitis"
"ORPHA:1266", "Dermato-cardio-skeletal syndrome, Borrone type"
"ORPHA:1271", "Bowen syndrome"
"ORPHA:1270", "Bowen-Conradi syndrome"
"ORPHA:137605", "Legius syndrome"
"ORPHA:137593", "Infectious epithelial keratitis"
"ORPHA:137596", "Neurotrophic keratopathy"
"ORPHA:1278", "Brachydactyly-preaxial hallux varus syndrome"
"ORPHA:137599", "Herpes simplex virus stromal keratitis"
"ORPHA:137602", "Endotheliitis"
"ORPHA:1166", "Congenital unilateral hypoplasia of depressor anguli oris"
"ORPHA:1168", "Ataxia-oculomotor apraxia type 1"
"ORPHA:137820", "Extrapelvic endometriosis"
"ORPHA:1160", "Chylous ascites"
"ORPHA:137817", "Arachnoiditis"
"ORPHA:137814", "Macular amyloidosis"
"ORPHA:1174", "Cerebellar ataxia-ectodermal dysplasia syndrome"
"ORPHA:137839", "Lemierre syndrome"
"ORPHA:137834", "Frank-Ter Haar syndrome"
"ORPHA:137831", "X-linked intellectual disability-cerebellar hypoplasia syndrome"
"ORPHA:1170", "Autosomal recessive cerebelloparenchymal disorder type 3"
"ORPHA:137862", "Martínez-Frías syndrome"
"ORPHA:1178", "Ataxia-tapetoretinal degeneration syndrome"
"ORPHA:1175", "X-linked progressive cerebellar ataxia"
"ORPHA:1180", "Ataxia-hypogonadism-choroidal dystrophy syndrome"
"ORPHA:1179", "Benign paroxysmal tonic upgaze of childhood with ataxia"
"ORPHA:137871", "OBSOLETE: Laminopathy type Decaudain-Vigouroux"
"ORPHA:1173", "Cerebellar ataxia-hypogonadism syndrome"
"ORPHA:137867", "Madras motor neuron disease"
"ORPHA:1139", "OBSOLETE: Arthrogryposis-epileptic seizures-migrational brain disorder syndrome"
"ORPHA:137681", "Hepatoencephalopathy due to combined oxidative phosphorylation defect type 1"
"ORPHA:1137", "OBSOLETE: Pulmonary aortic stenosis obstructive uropathy"
"ORPHA:1133", "AREDYLD syndrome"
"ORPHA:137675", "Histiocytoid cardiomyopathy"
"ORPHA:1131", "X-linked mandibulofacial dysostosis"
"ORPHA:137678", "Czech dysplasia, metatarsal type"
"ORPHA:137698", "Cytomegalovirus disease in patients with impaired cell mediated immunity deemed at risk"
"ORPHA:137754", "Neurological conditions associated with aminoacylase 1 deficiency"
"ORPHA:1145", "Infantile-onset X-linked spinal muscular atrophy"
"ORPHA:137686", "Asherman syndrome"
"ORPHA:1144", "Arthrogryposis-like hand anomaly-sensorineural deafness syndrome"
"ORPHA:1153", "OBSOLETE: Transient neonatal arthrogryposis"
"ORPHA:137776", "Lethal congenital contracture syndrome type 2"
"ORPHA:1150", "Arthrogryposis multiplex congenita-whistling face syndrome"
"ORPHA:1149", "Kuskokwim syndrome"
"ORPHA:137807", "Primary cutaneous amyloidosis"
"ORPHA:1159", "Progressive pseudorheumatoid arthropathy of childhood"
"ORPHA:137810", "Nodular cutaneous amyloidosis"
"ORPHA:137783", "Lethal congenital contracture syndrome type 3"
"ORPHA:1211", "OBSOLETE: Atrichia-mental and growth delay syndrome"
"ORPHA:1214", "Progressive hemifacial atrophy"
"ORPHA:1215", "Autosomal dominant optic atrophy plus syndrome"
"ORPHA:138041", "Pierre Robin syndrome associated with collagen disease"
"ORPHA:1216", "Autosomal dominant congenital benign spinal muscular atrophy"
"ORPHA:138047", "Pierre Robin syndrome associated with a chromosomal anomaly"
"ORPHA:138044", "Rare disease with Pierre Robin syndrome"
"ORPHA:1219", "Aurocephalosyndactyly"
"ORPHA:138055", "Pierre Robin syndrome associated with bone disease"
"ORPHA:1221", "Cheilitis glandularis"
"ORPHA:138050", "Pierre Robin syndrome associated with branchial archs anomalies"
"ORPHA:138063", "OBSOLETE: Syndrome associated with Pierre Robin syndrome"
"ORPHA:138059", "Teratogenic Pierre Robin syndrome"
"ORPHA:1225", "Baller-Gerold syndrome"
"ORPHA:138069", "Sucking/swallowing disorder not related with Pierre Robin syndrome"
"ORPHA:1226", "Bamforth-Lazarus syndrome"
"ORPHA:138066", "OBSOLETE: Pierre Robin syndrome associated with miscellaneous anomalies"
"ORPHA:1227", "Bangstad syndrome"
"ORPHA:1184", "Ataxia-photosensitivity-short stature syndrome"
"ORPHA:1182", "Spastic ataxia with congenital miosis"
"ORPHA:137888", "Auriculocondylar syndrome"
"ORPHA:137893", "Male infertility due to large-headed multiflagellar polyploid spermatozoa"
"ORPHA:1186", "Infantile onset spinocerebellar ataxia"
"ORPHA:1185", "Spinocerebellar ataxia-dysmorphism syndrome"
"ORPHA:137898", "Leukoencephalopathy with brain stem and spinal cord involvement-high lactate syndrome"
"ORPHA:1188", "Ataxia-deafness-intellectual disability syndrome"
"ORPHA:137902", "Isolated optic nerve hypoplasia/aplasia"
"ORPHA:137905", "Syndromic optic nerve hypoplasia"
"ORPHA:1187", "Lethal ataxia with deafness and optic atrophy"
"ORPHA:1190", "Atelosteogenesis type I"
"ORPHA:137908", "Hypotonia with lactic acidemia and hyperammonemia"
"ORPHA:137911", "Autism-facial port-wine stain syndrome"
"ORPHA:137914", "Choanal atresia"
"ORPHA:1193", "Atkin-Flaitz syndrome"
"ORPHA:137917", "Choanal atresia, unilateral"
"ORPHA:1200", "Choanal atresia-hearing loss-cardiac defects-craniofacial dysmorphism syndrome"
"ORPHA:137920", "Choanal atresia, bilateral"
"ORPHA:137923", "OBSOLETE: Cervicofacial lymphatic malformation"
"ORPHA:1198", "Colonic atresia"
"ORPHA:137926", "Primary laryngeal lymphangioma"
"ORPHA:137929", "Neonatal brainstem dysfunction"
"ORPHA:1203", "Duodenal atresia"
"ORPHA:1208", "Pulmonary atresia-intact ventricular septum syndrome"
"ORPHA:137932", "Congenital laryngeal palsy"
"ORPHA:137935", "Laryngotracheal angioma"
"ORPHA:1449", "Ring chromosome 7 syndrome"
"ORPHA:141242", "Paramedian nasal cleft"
"ORPHA:1453", "Cleidorhizomelic syndrome"
"ORPHA:141239", "Median cleft of the upper lip and maxilla"
"ORPHA:1440", "Ring chromosome 14 syndrome"
"ORPHA:141234", "Median facial cleft"
"ORPHA:1443", "Ring chromosome 19 syndrome"
"ORPHA:141229", "Facial cleft"
"ORPHA:141261", "Tessier number 5 facial cleft"
"ORPHA:141258", "Tessier number 4 facial cleft"
"ORPHA:1458", "CODAS syndrome"
"ORPHA:141253", "Oblique facial cleft"
"ORPHA:1454", "Joubert syndrome with hepatic defect"
"ORPHA:190", "Coats disease"
"ORPHA:141199", "Cerebrofacial arteriovenous metameric syndrome type 3"
"ORPHA:1429", "Benign hereditary chorea"
"ORPHA:141194", "Cerebrofacial arteriovenous metameric syndrome type 1"
"ORPHA:141189", "Cerebrofacial arteriovenous metameric syndrome"
"ORPHA:1426", "Greenberg dysplasia"
"ORPHA:141184", "Rapidly involuting congenital hemangioma"
"ORPHA:1427", "Otospondylomegaepiphyseal dysplasia"
"ORPHA:1435", "Xq21 microdeletion syndrome"
"ORPHA:141219", "Nasal dorsum fistula"
"ORPHA:1436", "X-linked skeletal dysplasia-intellectual disability syndrome"
"ORPHA:141214", "Isolated congenital syngnathia"
"ORPHA:141209", "Diffuse lymphatic malformation"
"ORPHA:1432", "Autosomal dominant chorioretinopathy-microcephaly syndrome"
"ORPHA:1433", "Choroidal atrophy-alopecia syndrome"
"ORPHA:155832", "Rare head and neck malformation"
"ORPHA:1484", "Contractures-ectodermal dysplasia-cleft lip/palate syndrome"
"ORPHA:155835", "Cysts and fistulae of the face and oral cavity"
"ORPHA:141333", "Biemond syndrome type 2"
"ORPHA:155712", "Particular clinical situation or non rare disorder with an orphan designation"
"ORPHA:155878", "Submucosal cleft palate"
"ORPHA:1490", "Corneal dystrophy-perceptive deafness syndrome"
"ORPHA:1487", "Cooks syndrome"
"ORPHA:155838", "Pinnae fistula or cyst"
"ORPHA:155867", "Paramedian facial cleft"
"ORPHA:1486", "Lethal congenital contracture syndrome type 1"
"ORPHA:141276", "Tessier number 7 facial cleft"
"ORPHA:141265", "Tessier number 6 facial cleft"
"ORPHA:1466", "COFS syndrome"
"ORPHA:141269", "Lateral facial cleft"
"ORPHA:141327", "Orofaciodigital syndrome type 12"
"ORPHA:141330", "Orofaciodigital syndrome type 13"
"ORPHA:1471", "Coloboma of macula-brachydactyly type B syndrome"
"ORPHA:141288", "Midline cervical cleft"
"ORPHA:141291", "Cleft lip and alveolus"
"ORPHA:141091", "Polyrrhinia"
"ORPHA:1408", "Hair defect-photosensitivity-intellectual disability syndrome"
"ORPHA:1409", "Woolly hair-hypotrichosis-everted lower lip-outstanding ears syndrome"
"ORPHA:141083", "Nasolacrimal duct cyst"
"ORPHA:1410", "Uncombable hair syndrome"
"ORPHA:141099", "Proboscis lateralis"
"ORPHA:141096", "Supernumerary nostril"
"ORPHA:1412", "Tarsal-carpal coalition syndrome"
"ORPHA:141107", "Nasopharyngeal teratoma"
"ORPHA:141103", "Nasal dermoid cyst"
"ORPHA:141115", "Nasal ganglioglioma"
"ORPHA:1416", "Familial calcium pyrophosphate deposition"
"ORPHA:141112", "Nasal glial heterotopia"
"ORPHA:1394", "Cerebrofaciothoracic dysplasia"
"ORPHA:141051", "Facial dermoid cyst"
"ORPHA:141064", "Lower lip fistula"
"ORPHA:1396", "OBSOLETE: Cerebrorenodigital syndrome"
"ORPHA:141061", "Commissural lip fistula"
"ORPHA:141071", "Digestive duplication cyst of the tongue"
"ORPHA:1397", "Hydrocephaly-cerebellar agenesis syndrome"
"ORPHA:141067", "Cervicofacial fibrochondroma"
"ORPHA:1398", "Isolated cerebellar agenesis"
"ORPHA:1399", "Richards-Rundle syndrome"
"ORPHA:141077", "Epignathus"
"ORPHA:1401", "CHAND syndrome"
"ORPHA:141074", "External auditory canal aplasia/hypoplasia"
"ORPHA:141152", "Isolated congenital hypoglossia/aglossia"
"ORPHA:174", "Metaphyseal chondrodysplasia, Schmid type"
"ORPHA:141163", "Glossopalatine ankylosis"
"ORPHA:141168", "Frontonasal arteriovenous malformation"
"ORPHA:141171", "Maxillary arteriovenous malformation"
"ORPHA:1425", "Desbuquois syndrome"
"ORPHA:141174", "Mandibular arteriovenous malformation"
"ORPHA:141179", "Non-involuting congenital hemangioma"
"ORPHA:141118", "Nasal encephalocele"
"ORPHA:1420", "OBSOLETE: Lethal chondrodysplasia, Moerman type"
"ORPHA:141121", "Congenital subglottic stenosis"
"ORPHA:141124", "Congenital laryngeal cyst"
"ORPHA:141127", "Congenital tracheal stenosis"
"ORPHA:1421", "OBSOLETE: Lethal chondrodysplasia, Seller type"
"ORPHA:141132", "Oculo-auriculo-vertebral spectrum"
"ORPHA:141136", "Otomandibular syndrome"
"ORPHA:141145", "Hemifacial hyperplasia"
"ORPHA:141148", "Hemifacial myohyperplasia"
"ORPHA:156728", "Spondyloepimetaphyseal dysplasia, matrilin-3 type"
"ORPHA:1375", "Cataract-hypertrichosis-intellectual disability syndrome"
"ORPHA:156723", "Piepkorn dysplasia"
"ORPHA:1376", "OBSOLETE: Congenital cataract-ichthyosis syndrome"
"ORPHA:163", "Hereditary hyperferritinemia-cataract syndrome"
"ORPHA:156643", "Genetic endocrine growth disease"
